iter	Passed	Remaining
0	0	40
1	0	37
2	1	37
3	1	35
4	1	34
5	2	34
6	2	33
7	2	33
8	3	32
9	3	32
10	3	31
11	4	31
12	4	31
13	5	30
14	5	30
15	5	30
16	6	29
17	6	29
18	6	29
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	11	24
33	12	23
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	15	22
40	15	22
41	15	21
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	26	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	33	6
83	33	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	40	0
98	40	0
99	41	0
